STT,Title,Link
1,Funny Acts Of Vandalism,https://brightside.me/article/20-powerful-pieces-of-street-art-thatll-make-your-heart-beat-faster-89205/
2,Funny Mailboxes That Take Creativity To A Whole New Level,https://brightside.me/creativity-art/20-wacky-mailboxes-that-take-creativity-to-a-whole-new-level-477860/?utm_source=BrightSide_web&utm_medium=article&utm_campaign=share_image&utm_content=Pinterest&image=21112860
3,Smart Designs Every City Needs to Have ASAP,https://brightside.me/creativity-design/20-smart-designs-every-city-needs-to-have-asap-798257/
4,Urban Design Ideas Every City Needs to Adopt,https://brightside.me/creativity-design/26-urban-design-ideas-every-city-needs-to-adopt-793260/
5,"Photos Where Laziness, Genius and Insanity United As One",https://brightside.me/creativity-photography/19-photos-where-laziness-genius-and-insanity-united-as-one-458310/
6,Hilarious Attempts to Update Old Family Photos,https://brightside.me/creativity-photography/23-hilarious-attempts-to-update-old-family-photos-343610/
7,Striking Photos That Had No Help From Photoshop,https://brightside.me/creativity-photography/25-striking-photos-that-had-no-help-from-photoshop-225460/
8,Astonishing Photos You’ll Have to Look at Twice,https://brightside.me/creativity-photography/27-astonishing-photos-youll-have-to-look-at-twice-363560/
9,Photos That Can Be Taken Only at This Very Moment,https://brightside.me/creativity-photography/27-photos-that-can-be-taken-only-at-this-very-moment-418110/?wptouch_preview_theme=enabled
10,Parents Who Are Stuck In Quarantine With Their Kids,https://brightside.me/inspiration-family-and-kids/19-photos-that-prove-working-from-home-is-funnier-than-any-day-at-the-office-796850/
11,Genius Inventions For Kids That Are So Good Even Adults Will Wanna Use Them,https://brightside.me/inspiration-family-and-kids/20-inventions-for-kids-that-are-so-good-even-adults-will-wanna-use-them-797368/
12,Dads Who Possess an Outstanding Sense of Humor,https://brightside.me/inspiration-family-and-kids/20-unbeatable-dads-whose-jokes-will-make-you-giggle-till-the-rest-of-the-day-766660/
13,Dogs Who Can Boost Your Mood Faster Than a Rocket,https://brightside.me/wonder-animals/15-dogs-who-can-boost-your-mood-faster-than-a-rocket-796895/
14,Cat Habits That Make People Squeal With Delight,https://brightside.me/wonder-animals/18-cat-habits-that-make-people-squeal-with-delight-796908/?utm_source=Bright+Side_web&utm_medium=article&utm_campaign=share_image&utm_content=copylink&image=15287349
15,Times People Shared the Wacky Habits of Their Pets,https://brightside.me/wonder-animals/19-hysterical-times-people-shared-wacky-habits-of-their-pets-787760/
16,"People Who Were Against Keeping Pets, but Can’t Live Without Them Now",https://brightside.me/wonder-animals/19-people-who-were-against-keeping-pets-but-cant-live-without-them-now-687910/
17,Animals That Were Too Rebellious to Follow the Rules,https://brightside.me/wonder-animals/20-animals-that-were-too-rebellious-to-follow-the-rules-its-hard-to-be-angry-with-them-559060/?utm-source=brightside_web&utm-medium=article&utm-campaign=whatsapp_share
18,People Who Didn’t Want “Those Pets in the House” but Now Can’t Spend a Day Without Them,https://brightside.me/wonder-animals/20-people-who-didnt-want-those-pets-in-the-house-but-now-cant-spend-a-day-without-them-793510/
19,Weird Dog and Cat Habits That They Think Are Totally Normal,https://brightside.me/wonder-animals/23-weird-dog-and-cat-habits-that-they-think-are-totally-normal-579860/?utm_source=BrightSide_web&utm_medium=article&utm_campaign=share_image&utm_content=copylink&image=4069910
20,Photos That Prove No One Is Safe From a Bad Day,https://brightside.me/wonder-curiosities/10-photos-that-prove-no-one-is-safe-from-a-bad-day-795947/
21,Misleading Things That Look Hilariously Like Food,https://brightside.me/wonder-curiosities/12-misleading-things-that-look-hilariously-like-food-430510/
